" Copy"," نسخة"
"Need to Confirm","يحتاج الى تاكيد"
"New Newsletter Template","قالب نشرة بريدية جديد"
"New Template","قالب جديد"
"Newsletter","النشرة البريدية"
"Newsletter Message Preview","معاينة رسالة النشرة البريدية"
"Newsletter Problem Reports","تقارير مشاكل النشرة البريدية"
"Newsletter Queue","صف النشرة"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","تسجيل خروج النشرة"
"Newsletter Subscribers","مشتركو النشرة البريدية"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","اشتراكات النشرة"
"Newsletter Templates","قوالب النشرة البريدية"
"Newsletter subscription confirmation","تأكيد الاشتراك في النشرة البريدية"
"Newsletter subscription success","نجاح الاشتراك في النشرة البريدية"
"Newsletter unsubscription success","نجاح إلغاء الاشتراك في النشرة البريدية"
"No Templates Found","لا يوجد قوالب"
"No problems found","لا يوجد مشاكل"
"No subscribers selected","لم يتم اختيار مشتركين"
"Not Sent","لم يتم الإرسال"
"Not activated","لم يتم التنشيط"
"Pause","توقيف"
"Paused","توقف"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","من فضلك قم بإدخال اسم قالب جديد"
"Please select subscriber(s)","من فضلك اختر مشترك/مشتركين"
"Preview","معاينة"
"Preview Template","معاينة القالب"
"Processed","تجهيز"
"Queue Date Start","بدء تاريخ الصف"
"Queue Finish","انتهاء الصف"
"Queue Information","معلومات الصف"
"Queue Newsletter","نشرة الصف"
"Queue Start","بداية الصف"
"Queue Subject","موضوع الصف"
"Recipients","المستلمون"
"Reset","اعادة وضع"
"Resume","استئناف"
"Return Html Version","العودة النسخه لغة تأشير النص الفائق"
"Save And Resume","حفظ و استئناف"
"Save As","حفظ باسم"
"Save Newsletter","حفظ النشرة البريدية"
"Save Template","حفظ قالب"
"Selected problem subscribers successfully unsubscribed","مشكلة اختيار المشتركين اشتراكك بنجاح"
"Selected problems successfully deleted","تم حذف المشاكل المختارة بنجاح"
"Sender","المرسل"
"Sender Email","البريد الإلكتروني للمرسل"
"Sender Name","اسم المرسل"
"Sending","جار الإرسال"
"Sending Options","Sending Options"
"Sent","تم الإرسال"
"Set Return-Path","Set Return-Path"
"Sign me up","اشترك الان"
"Sign up for our newsletter:","قم بالاشتراك في نشرتنا البريدية:"
"Start","ابدء"
"Status","الحالة"
"Store","المتجر"
"Store View","عرض المتجر"
"Subject","العنوان"
"Subscribe","اشتراك"
"Subscribed","Subscribed"
"Subscriber","مشترك"
"Subscribers","مشتركون"
"Subscribers From","مشتركون من"
"Subscription Options","خيارات الاشتراك"
"Success Email Sender","نجاح ارسال الرساله الالكترونية"
"Success Email Template","نجاح قالب البريد الالكتروني"
"Template Content","محتويات القالب"
"Template Information","بيانات القالب"
"Template Name","اسم القالب"
"Template Subject","عنوان القالب"
"Template Type","نوع القالب"
"Thank you for your subscription","شكرا لك للاشتراك"
"The subscription was successfully saved","تم حفظ الاشتراك بنجاح"
"There was a problem with the subscription","يوجد مشكلة بالاشتراك"
"There was a problem with the subscription: %s","يوجد مشكلة بالاشتراك: %s"
"There was a problem with the un-subscription.","يوجد مشكلة بإلغاء الاشتراك."
"There was an error while saving your subscription","يوجد خطأ أثناء حفظ اشتراكك"
"Toggle Editor","تحرير المسمار"
"Type","نوع"
"Unsubscribe","قم بإلغاء الاشتراك"
"Unsubscribe Selected","الغاء الاشتراك مختارة"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","الغاء الاشتراك البريد الالكتروني للمرسل"
"Unsubscription Email Template","الغاء الاشتراك البريد الالكتروني قالب"
"View Newsletter","عرض النشرة البريدية"
"Website","الموقع"
"You have been successfully unsubscribed.","تم إلغاء اشتراكك بنجاح."
"Your subscription was successfully confirmed","تم تأكيد اشتراكك بنجاح"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
=======
"There was a problem with the un-subscription.","يوجد مشكلة بإلغاء الاشتراك."
"There was a problem with the subscription","يوجد مشكلة بالاشتراك"
"There was a problem with the subscription: %s","يوجد مشكلة بالاشتراك: %s"
"There was an error while saving your subscription","يوجد خطأ أثناء حفظ اشتراكك"
"Need to Confirm","يحتاج الى تاكيد"
"Action","فعل"
"Invalid subscription confirmation code","كود تأكيد الاشتراك غير صحيح"
"Error Code","كود خطأ"
"Newsletter Templates","قوالب النشرة البريدية"
"Unsubscribe","قم بإلغاء الاشتراك"
"Sign up for our newsletter:","قم بالاشتراك في نشرتنا البريدية:"
"New Newsletter Template","قالب نشرة بريدية جديد"
"Confirmation Email Template","قالب البريد الإلكتروني التأكيدي"
"New Template","قالب جديد"
"Not Sent","لم يتم الإرسال"
"Not activated","لم يتم التنشيط"
"No subscribers selected","لم يتم اختيار مشتركين"
"No Templates Found","لا يوجد قوالب"
"No problems found","لا يوجد مشاكل"
"Cannot mark as received subscriber","لا يمكن ان العلامه كما وردت المشترك"
"Cannot save your subscription: %s","لا يمكن حفظ اشتراكك: %s"
"Cannot delete template","لا يمكن حذف القالب"
"Cannot delete subscriber","لا يمكن حذف المشترك"
"Type","نوع"
"Template Type","نوع القالب"
"Success Email Template","نجاح قالب البريد الالكتروني"
"Newsletter unsubscription success","نجاح إلغاء الاشتراك في النشرة البريدية"
"Newsletter subscription success","نجاح الاشتراك في النشرة البريدية"
"Success Email Sender","نجاح ارسال الرساله الالكترونية"
"Queue Newsletter","نشرة الصف"
"Error Text","نص خاطئ"
"Are you sure that you want to delete this template?","هل أنت متأكد أنك تريد حذف هذا القالب؟"
"Are you sure that you want to strip all tags?","هل انت متاكد انك تريد من تشريط جميع العلامات؟"
"Do you really want to cancel the queue?","هل تريد ان تلغي الصف؟"
"Queue Subject","موضوع الصف"
"Please enter new template name","من فضلك قم بإدخال اسم قالب جديد"
"Please select subscriber(s)","من فضلك اختر مشترك/مشتركين"
"Template Content","محتويات القالب"
"Confirmation Email Sender","مرسل البريد الإلكتروني التأكيدي"
"Selected problem subscribers successfully unsubscribed","مشكلة اختيار المشتركين اشتراكك بنجاح"
"Subcribed","مشترك"
"Subscriber","مشترك"
"Newsletter Subscribers","مشتركو النشرة البريدية"
"Subscribers","مشتركون"
"Subscribers From","مشتركون من"
"Queue Information","معلومات الصف"
"Preview","معاينة"
"Preview Template","معاينة القالب"
"Newsletter Message Preview","معاينة رسالة النشرة البريدية"
"Cancel","إلغاء"
"Create Newsletter Template","إنشاء قالب نشرة بريدية"
"Add New Template","إضافة قالب جديد"
"Newsletter","النشرة البريدية"
"Website","الموقع"
"Store","المتجر"
"Sender","المرسل"
"Recipients","المستلمون"
"Customer Firstname","الاسم الأول للعميل"
"Email","البريد الإلكتروني"
"Sender Email","البريد الإلكتروني للمرسل"
"Date Added","التاريخ المضاف فيه"
"Status","الحالة"
"ID","الرمز التعريفي"
"Back","العودة"
"Return Html Version","العودة النسخه لغة تأشير النص الفائق"
"Subject","العنوان"
"Customer","العميل"
"Unsubscribe Selected","الغاء الاشتراك مختارة"
"Unsubscription Email Template","الغاء الاشتراك البريد الالكتروني قالب"
"Unsubscription Email Sender","الغاء الاشتراك البريد الالكتروني للمرسل"
"Queue Finish","انتهاء الصف"
"Start","ابدء"
"Enter your email address","ادخل عنوان بريدك الالكتروني"
"Template Name","اسم القالب"
"Sender Name","اسم المرسل"
"Customer Lastname","اسم العائلة للعميل"
"Resume","استئناف"
"Sign me up","اشترك الان"
"Subscribe","اشتراك"
"Invalid subscription ID","اشتراك غير صحيح معرف"
"Newsletter Subscriptions","اشتراكات النشرة"
"Add to Queue","اضف الى الصف"
"Edit Queue","اضافة قالب"
"Reset","اعادة وضع"
"Template Information","بيانات القالب"
"Queue Date Start","بدء تاريخ الصف"
"Queue Start","بداية الصف"
"Duplicate of template code","تكرار رمز القالب"
"Pause","توقيف"
"Paused","توقف"
"Newsletter Problem Reports","تقارير مشاكل النشرة البريدية"
"You have been successfully unsubscribed.","تم إلغاء اشتراكك بنجاح."
"Confirmation request has been sent","تم إرسال الطلب التأكيدي"
"Cancelled","تم الإلغاء"
"Sent","تم الإرسال"
"Your subscription was successfully confirmed","تم تأكيد اشتراكك بنجاح"
"The subscription was successfully saved","تم حفظ الاشتراك بنجاح"
"Selected problems successfully deleted","تم حذف المشاكل المختارة بنجاح"
"Form was filled incorrectly","تمت تعبئة النموذج بطريقة غير صحيحة"
"Newsletter subscription confirmation","تأكيد الاشتراك في النشرة البريدية"
"Processed","تجهيز"
"Convert to Plain Text","تحويل الى نص عادي"
"Date Updated","تحديث التاريخ"
"Edit Template","تحرير قالب"
"Edit Newsletter Template","تحرير قالب النشرة البريدية"
"Edit Newsletter","تحرير النشرة البريدية"
"Toggle Editor","تحرير المسمار"
"Newsletter Sign-up","تسجيل خروج النشرة"
"Sending","جار الإرسال"
"Save And Resume","حفظ و استئناف"
"Save Template","حفظ قالب"
"Save Newsletter","حفظ النشرة البريدية"
"Save As","حفظ باسم"
"Delete Template","حذف قالب"
"Delete Selected Problems","حذف المشاكل المختارة"
"Subscription Options","خيارات الاشتراك"
"Invalid subscriber ID","رقم تعريف المشترك غير صحيحة"
"Message","رسالة"
"Guest","زائر"
"Thank you for your subscription","شكرا لك للاشتراك"
"Template Subject","عنوان القالب"
"View Newsletter","عرض النشرة البريدية"
"Store View","عرض المتجر"
"Unsubcribed","غير مشترك"
"Invalid queue selected","غير صالح الصف مختارة"
"Newsletter Queue","صف النشرة"
>>>>>>> 6befb3e5115251dc0dfcceea1be9de3a5d169522
