"* Required Fields","* الحقول المطلوبة"
"Continue Shopping","الاستمرار بالتسوق"
"Country","الدولة"
"Create","إنشاء"
"Create New Account Options","خيارات إنشاء حساب جديد"
"Create New Customer Account","إنشاء حساب عميل جديد"
"Create Order","إنشاء طلب شراء"
"Create an Account","إنشاء حساب"
"Create customer","إنشاء عميل"
"Create customer address","إنشاء عنوان العميل"
"Current Password","كلمة المرور الحالية"
"Customer","العميل"
"Customer Addresses","عناوين العميل"
"Customer Api","Customer Api"
"Customer Configuration","تشكيل العميل"
"Customer Group","مجموعة عملاء"
"Customer Group was successfully deleted","تم حذف مجموعة عملاء بنجاح"
"Customer Group was successfully saved","تم حفظ مجموعة عملاء بنجاح"
"Customer Groups","مجموعات عملاء"
"Customer Information","بيانات العميل"
"Customer Login","تسجيل دخول العميل"
"Customer Since","عميل منذ"
"Customer View","عرض العملاء"
"Customer collection expected","ويتوقع جمع العملاء"
"Customer doesn't have primary billing address","العميل ليس لديه عنوان دفع رئيسي"
"Customer email already exists","البريد الإلكتروني للعميل موجود بالفعل"
"Customer website id must be specified, when using website scope.","يجب تحديد عنوان  عملاء الموقع، عند استخدام نطاق الموقع."
"Customers","العملاء"
"Customers Only","العملاء فقط"
"Customers Section","قسم العملاء"
"DD","DD"
"Date","التاريخ"
"Date Added","التاريخ المضاف"
"Date of Birth","تأريخ الميلاد"
"Date of Birth is required.","تأريخ الميلاد مطلوب"
"Day","اليوم"
"Days in Wishlist","الأيام في قائمة الأمنيات"
"Default Addresses","العناوين الافتراضية"
"Default Billing Address","عنوان الدفع الافتراضي"
"Default Email Domain","البريد الالكتروني الافتراضي النطاق"
"Default Group","المجموعة الافتراضية"
"Default Shipping Address","عنوان الشحن الافتراضي"
"Default Welcome Email","إيميل الترحيب الافتراضي"
"Delete","حذف"
"Delete Address","حذف العنوان"
"Delete Customer","حذف العميل"
"Delete Customer Group","حذف مجموعة عملاء"
"Delete customer","حذف عميل"
"Delete customer address","حذف عنوان العميل"
"Deleted Stores","المتاجر المحذوفة"
"Details","التفاصيل"
"Disabled","غير مفعل"
"Edit","تحرير"
"Edit Account Info","تحرير بيانات الحساب"
"Edit Account Information","تحرير بيانات الحساب"
"Edit Address","تحرير العنوان"
"Edit Address Entry","تحرير مدخل العنوان"
"Edit Customer Group ""%s""","تحرير مجموعة العملاء ""%s"""
"Edit Customer Groups","تحرير مجموعات العملاء"
"Edit Customer's Address","تحرير عنوان العميل"
"Edit Group","تحرير مجموعة"
"Edit Newsletter Subscription","تحرير اشتراك النشرة البريدية"
"Edit Newsletters","تحرير النشرات البريدية"
"Edit Personal Information","تحرير البيانات الشخصية"
"Email","البريد الإلكتروني"
"Email Address","عنوان البريد الإلكتروني"
"Email Sender","مرسل البريد الإلكتروني"
"Entity collection is expected","ومن المتوقع ان الكيان جمع"
"Error during retrieval of option value: %s","خطأ أثناء استرداد قيمة الخيار: %s"
"Ext. Price","التحويلة. السعر"
"Failed to confirm customer account.","فشل تأكيد حساب العميل"
"Fax","فاكس"
"First Name","الاسم الأول"
"First name can't be empty","الاسم الأول يجب أن لا يكون خالي"
"Forgot Email Sender","نسيت البريد الالكتروني للمرسل"
"Forgot Email Template","نسيت البريد الالكتروني للقالب"
"Forgot Your Password?","هل نسيت كلمة المرور؟"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","حسابي الخاص بك من لوحة التحكم الرئيسية لديك القدرة على عرض لقطة الاخيرة من نشاط للحساب الخاص بك وتحديث معلومات حسابك. اختر احد الروابط ادناه لعرض او تعديل المعلومات."
"General Subscription","اشتراك عام"
"Global","عالمي"
"Go to Address Book","اذهب الى دفتر العناوين"
"Grand Total","المجموع الكلي"
"Grand Total: %s","المجموع الكلي: %s"
"Group","مجموعة"
"Group ""%s"" can not be deleted","مجموعة ""%s"" لا يمكن حذفها"
"Group Information","بيانات المجموعة"
"Group Name","اسم المجموعة"
"Guest","زائر"
"HTML","لغة النص التشعبي"
"Hello, %s!","مرحبا، %s!"
"ID","الرمز التعريفي"
"IP Address","عنوان الملكية الفكرية"
"If you have an account with us, please log in.","إذا كنت تمتلك حسابا معنا، من فضلك قم بتسجيل الدخول."
"Invalid attribute option specified for attribute %s (%s), skipping the record","غير صالح خيار السمة المحددة للخاصيه %s (%s), اهمال التسجيل"
"Invalid attribute set specified, skipping the record","غير صالح مجموعة السمات المحددة ، تخطى سجل"
"Invalid current password","كلمة المرور الحالية غير صحيحة"
"Invalid customer data","بيانات العميل غير صحيحة"
"Invalid email address","عنوان البريد الإلكتروني غير صحيح"
"Invalid email address ""%s""","عنوان البريد الألكتروني غير صحيح  ""%s"""
"Invalid login or password.","العنوان او الاسم السري غير صحيح"
"Invalid option id specified for %s (%s), skipping the record","غير صالح الخيار رقم تعريف محدد لل %s (%s), اهمال التسجيل"
"Invalid store specified, skipping the record","المتجر المحدد غير صحيح ، تخطى سجل"
"Items Order","طلبات العناصر"
"Last 5 Orders","اخر 5 اوامر"
"Last Activity","اخر نشاط"
"Last Name","اسم العائلة"
"Last Url","اخر موقع"
"Last Viewed Items","آخر السلع المعروضة"
"Last date subscribed","اخر تاريخ مشترك"
"Last date unsubscribed","اخر تاريخ غير مشترك"
"Last name can't be empty","الإسم العائلي لا يجوز ان يكون خالي"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","عمر المبيعات"
"Log In","تسجيل الدخول"
"Log Out","تسجيل الخروج"
"Log in or Create an Account","سجل الدخول او انشئ حساب جديد"
"Login","تسجيل الدخول"
"Login Information","بيانات تسجيل الدخول"
"Login and password are required","تسجيل الدخول و الرقم السري مطلوبات"
"Login or Create an Account","تسجيل دخول او انشاء حساب"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","إدارة العناوين"
"Manage Customers","إدارة العملاء"
"Missing email, skipping the record","المفقودين البريد الالكتروني ، تخطى سجل"
"Missing firstname, skipping the record","فقدان الاسم الاول, اهمال التسجيل"
"Missing lastname, skipping the record","فقدان الاسم الاخير, اهمال التسجيل"
"Month","الشهر"
"My Account","حسابي"
"My Account Dashboard","لوحة التحكم لحسابي"
"My Dashboard","لوحة التحكم الرئيسية بلادي"
"My Orders","اوامري"
"My Reviews","مراجعاتي"
"My Tags","علاماتي"
"My Wishlist","قائمة الاماني"
"Name","الاسم"
"Name and Address Options","خيار الإسم والعنوان"
"Never","أبدا"
"New Address","عنوان جديد"
"New Address Entry","مدخل عنوان جديد"
"New Customer","عميل جديد"
"New Customer Address","عنوان عميل جديد"
"New Customer Group","مجموعة عميل جديدة"
"New Customer Groups","مجموعات عميل جديدة"
"New Customers","عملاء جدد"
"New Group","مجموعة جديدة"
"New Password","كلمة مرور جديدة"
"New account","حساب جديد"
"New account confirmation key","مفتاح التأكيد للحساب الجديد"
"New account confirmed","تم تأكيد الحساب الجديد"
"New password","كلمة المرور الجديدة"
"Newsletter","النشرة البريدية"
"Newsletter Finish","نهاية النشرة"
"Newsletter Information","بيانات النشرة البريدية"
"Newsletter Received","تم تسلم النشرة البريدية"
"Newsletter Start","بداية النشرة"
"Newsletter Subscription","الاشتراك بالنشرة البريدية"
"Newsletters","النشرات البريدية"
"No Items Found","لم يتم العثور على عناصر"
"No Newsletter Found","لم يتم العثور على نشرات اخبارية"
"No item specified.","لم يتم تعيين أي بند"
"No product collections found","لم يتم العثور على مجموعات المنتجات"
"Not Sent","لم ترسل"
"Not confirmed, can login","لم تؤكد، يمكن تسجيل الدخول"
"Not confirmed, cannot login","لم تؤكد، لا يمكن تسجيل الدخول"
"Number of lines in a street address ","عدد الاسطر في عنوان البريد"
"Offline","غير متصل"
"Online","متصل"
"Online Customers","عملاء متصلون"
"Online Customers Options","خيارات العملاء المتواجدين"
"Online Minutes Interval","Online Minutes Interval"
"Order #","امر #"
"Order #%s (%s)","امر #%s (%s)"
"Order List...","قائمة الاوامر..."
"Order Total","مجموع الامر"
"Orders","الاوامر"
"PDF","PDF"
"Password","كلمة المرور"
"Password Management","إدارة كلمة المرور"
"Password Options","خيارات كلمة المرور"
"Password can't be empty","لايمكن لكلمة المرور ان تكون خالية"
"Password fields can't be empty.","لا يمكن لحقول كلمات المرور ان تكون خالية"
"Password forgotten","لقد نسيت كلمة المرور"
"Password minimal length must be more %s","الحد الأدنى لكلمة المرور يجب ان يكون اكثر %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","يجب أن تحتوي كلمة المرور على 6 حروف على الأقل. سيتم تجاهل أي مسافات قبل أو بعد الأحرف."
"Paused","متوقف"
"Payment Method","طريقة الدفع"
"Pending","معلق"
"Per Website","لكل موقع"
"Personal Information","بيانات شخصية"
"Please enter your email below and we'll send you a new password.","من فضلك قم بإدخال بريدك الإلكتروني بالأسفل وسيتم إرسال كلمة مرور جديدة لك."
"Please enter your email below and we'll send you confirmation link for it.","من فضلك قم بإدخال بريدك الإلكتروني بالأسفل وسيتم إرسال رابط التفعيل  ."
"Please enter your email.","من فضلك قم بإدخال بريدك الإلكتروني."
"Please make sure your passwords match.","من فضلك تأكد من تطابق كلمة المرور."
"Please select","من فضلك اختر"
"Please select region, state or province","من فضلك اختر منطقة، ولاية أو مقاطعة"
"Please, check your e-mail for confirmation key.","من فضلك، قم بزيارة بريدك الالكتروني لمفتاح التفعيل"
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","السعر"
"Primary Billing Address","عنوان الدفع الرئيسي"
"Primary Shipping Address","عنوان الشحن الرئيسي"
"Problem saving the collection, aborting. Error: %s","مشكلة في حفظ جمع اجهاض. خطأ: %s"
"Product","المنتج"
"Product ID","الرمز التعريفي للمنتج"
"Product Name","اسم المنتج"
"Product Reviews","مراجعات المنتج"
"Product Tags","علامات المنتج"
"Product name","اسم المنتج"
"Purchase On","على شراء"
"Purchased at","في شراء"
"Qty","الكمية"
"Recent Orders","الاوامر الحالية"
"Records for ""","تسجيل ل  """
"Refunded","اعادة ايجاد"
"Registered Customers","عملاء مسجلون"
"Remove","إزالة"
"Require Emails Confirmation","مطلوب تأكيد البريد الألكتروني"
"Retrieve address data","إسترجاع بيانات العنوان"
"Retrieve address info","إسترجاع معلومات العنوان"
"Retrieve customer addresses","إسترجاع عنوان العميل"
"Retrieve customer data","إسترجاع بيانات العميل"
"Retrieve customer's groups","إسترجاع مجاميع العميل"
"Retrieve customers","إسترجاع العملاء"
"Retrieve customers info","إسترجاع معلومات العملاء"
"Retrieve your confirmation link here","إسترجاع رابط التأكيد هنا"
"Retrieve your password here","استعادة كلمة المرور هنا"
"SKU","SKU"
"Sales Statistics","إحصائيات المبيعات"
"Save","حفظ"
"Save Address","حفظ عنوان"
"Save And Continue Edit","خزن والعودة الى صفحة التغييرات"
"Save Customer","حفظ عميل"
"Save Customer Group","حفظ مجموعة عملاء"
"Save Password","حفظ كلمة المرور"
"Saved ","تم الحفظ "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","الفارزة المنقوطة (؛) قيم مفصولة. <br/>ضع فارزة منقوطة في البداية للخيار الخاوي الأول. <br/>إتركه خالي لحقل النص المفتوح"
"Send Welcome Email after Confirmation","إرسال رسالة الترحيب بعد التأكيد"
"Send auto-generated password","ارسال الرقم السري للتوليد الالي"
"Send confirmation link","إرسال رابط التأكيد"
"Send welcome email","ارسال رسالة ترحيب"
"Sending","جار الإرسال"
"Sent","تم الإرسال"
"Session Start Time","وقت بدء الدورة"
"Set as Default Billing Address","وضعها كعنوان فاتورة افتراضية"
"Set as Default Shipping Address","وضع كعنوان شحن افتراضي"
"Share Customer Accounts","مشاركة حساب العميل"
"Ship to First name","الشحن للاسم الاول"
"Ship to Last name","شحن للاسم الاخير"
"Shipped to First Name","شحنت للاسم الاول"
"Shipped to Last Name","شحنت للاسم الخير"
"Shipped to Name","شحنت للاسم"
"Shipping Information","بيانات الشحن"
"Shipping Method","طريقة الشحن"
"Shopping Cart","عربة التسوق"
"Shopping Cart - %d item(s)","سلة الشراء - %d عنصر(s)"
"Show Tax/VAT number","إظهار رقم الضريبة/ الضريبة المضاعفة"
"Show date of birth","إظهار تأريخ الميلاد"
"Show middle name (initial)","إظهار (الحرف الأول ) للإسم الوسطي"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","الاشتراك بالنشرة البريدية"
"Sign up for our newsletter","الاشتراك بنشرتنا البريدية"
"Skip import row, required field ""%s"" not defined","تخطى الواردات على التوالي ، في الحقل مطلوب ""%s""غير معرفة"
"Skip import row, website ""%s"" field not exists","تخطى الواردات على التوالى ، الموقع الالكتروني ""%s"" لم يتم العثور على الحقل"
"State/Province","ولاية/مقاطعة"
"Status","الحالة"
"Store","المتجر"
"Store View","عرض المتجر"
"Street Address","عنوان الشارع"
"Street Address ","عنوان الشارع"
"Subject","الموضوع"
"Submit","إرسال"
"Subscribe","اشتراك"
"Subscribe to newsletter","الاشتراك بالنشرة البريدية"
"Subscribed to Newsletter?","هل تود الاشتراك بالنشرة البريدية؟"
"Suffix","لاحقة"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","مطلوب رقم الضريبة/ الضريبة المضاعفة"
"Tag Name","اسسم العلامة"
"Tax Class","طبقة الضرائب"
"Tax class","طبقة الضرائب"
"Tax/VAT number","رقم الضريبة/ الضريبة المضاعفة"
"Telephone","هاتف"
"Text","نص"
"Text One Line","النص على الشبكة"
"Thank you for registering with %s","شكرا لتسجيل مع  %s"
"The address does not belong to this customer","العنوان لا يخص هذا العميل"
"The address was successfully deleted","تم حذف العنوان بنجاح"
"The address was successfully saved","تم حفظ العنوان بنجاح"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","العنوان الذي يسبق الاسم ( سيد، سيدة، الخ)"
"There are no items in customer's wishlist at the moment","لا يوجد سلع بقائمة الأمنيات الخاصة بالعميل في هذه اللحظة"
"There are no items in customer's shopping cart at the moment","لا يوجد سلع في عربة التسوق الخاصة بالعميل في هذه اللحظة"
"There was an error while deleting the address","هناك خطأ أثناء حذف العنوان"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","سيتم إرسال هذا الايميل بدلا من ايميل الترحيب، بعد تأكيد الحساب"
"This account is not confirmed.","هذا الحساب غير مفعل"
"This customer has no saved addresses.","لا يوجد لهذا العميل عناوين محفوظة."
"This e-mail does not require confirmation.","لايحتاج هذا الايميل إلى تأكيد"
"This email address was not found in our records","لم يتم إيجاد هذا البريد الإلكتروني في سجلاتنا"
"This is My Primary %s Address","هذا هو عنواني المبدئي %s "
"To Cart","إلى عربة التسوق"
"Total","الإجمالي"
"Type","نوع"
"Unknown","غير معروف"
"Unsubscribe from newsletter","إلغاء الاشتراك في النشرة البريدية"
"Update","تحديث"
"Update customer address data","تحديث بيانات عنوان العميل"
"Update customer data","تحديث بيانات العميل"
"Use as My Primary %s Address","استخدم كا عنواني المبدئي %s "
"Use as my default billing address","استخدم كعنوان الدفع الافتراضي"
"Use as my default shipping address","استخدم كعنوان الشحن الافتراضي"
"User description","وصف المستخدم"
"View","عرض"
"View Order","عرض الطلب"
"View Order List","عرض قائمة الطلبات"
"Visible In","Visible In"
"Visitor","زائر"
"Visitors Only","الزوار فقط"
"Website","موقع"
"Welcome Email","رسالة الترحيب"
"Wishlist","قائمة الأمنيات"
"Wishlist - %d item(s)","قائمة الاماني - %d عنصر(s)"
"Wrong confirmation key.","خطأ في مفتاح التفعيل"
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","بريد ألكتروني خاطئ"
"Wrong region id by selected country","رقم تعريف المنطقة الخطأ من جانب البلدان المختاره"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","السنة"
"You are currently not subscribed to any newsletter.","أنت حاليا غير مشترك في أية نشرة بريدية."
"You are currently not subscribed to our newsletter","أنت حاليا غير مشترك في نشرتنا البريدية"
"You are currently subscribed to 'General Subscription'.","انت مشترك حاليا العامة للاشتراك '."
"You are currently subscribed to our newsletter","أنت حاليا مشترك في نشرتنا البريدية"
"You are currently subscribed to our newsletter.","أنت حاليا مشترك في نشرتنا البريدية."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","لقد قمت بتسجيل خروجك بنجاح وسيتم تحويلك إلى صفحتنا الرئيسية في خلال 5 ثوان."
"You have no additional address entries in your address book.","لا يوجد لديك عنوان اضافي مداخل في دفتر العناوين الخاص بك."
"You have no additional entries in your address book.","لا يوجد لديك مداخل اضافية في دفتر العناوين الخاص بك."
"You have no default billing address in your address book.","لا يوجد لديك عنوان الفاتوره التقصير في دفتر العناوين الخاص بك."
"You have no default shipping address in your address book.","لا يوجد لديك عنوان الشحن الافتراضي في دفتر العناوين الخاص بك."
"You have no primary entries in your address book.","لا يوجد لديك الاولية والمدخلات في دفتر العناوين الخاص بك."
"You have not set a primary billing address.","انت لم تحدد الابتدائي عنوان الفاتوره."
"You have not set a primary shipping address.","انت لم تحدد الابتدائي عنوان الشحن."
"You have placed no orders yet.","انت لم تضع عنوان بعد."
"You have placed no products yet.","انت لم تضع منتج بعد."
"You're now Logged Out","انت الان مسجل الخروج"
"Your account balance is: %s","ان رصيد حسابك هو: %s"
"ZIP","الرمز البريدي"
"ZIP/Post Code","الرمز البريدي / الرمز البريدي"
"ZIP/Postal Code","الرمز البريدي"
"Zip/Postal Code","الرمز البريدي"
"n/a","n/a"
"or","أو"
"Please enter your email below and we'll send you a new password.","من فضلك قم بإدخال عنوان بريدك الألكتروني وسنقوم بإرسال كلمة المرور الجديدة"
"First name can't be empty","لا يمكن للإسم الأول ان يكون خالي"
"Last name can't be empty","لا  يمكن للإسم الأخير ان يكون خالي"
"Password can't be empty","لايمكن لكلمة المرور ان تكون خالية"
"My Account","حسابي"
"Log In","تسجيل الدخول"
"New Customers","عميل جديد"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","العملاء المسجلين"
"If you have an account with us, please log in.","إذا كان لديك حساب معنا، الرجاء تسجيل الدخول"
"Email Address","عنوان البريد الألكتروني"
"Password","كلمة المرور"
"* Required Fields","حقول مطلوبة *"
"Forgot Your Password?","هل نسيت كلمة المرور؟"
"Retrieve your password here","إسترجاع كلمة المرور هنا"
"Please enter your email below and we'll send you a new password.","فضلاً, ادرج بريدك الإلكتروني بالأسفل وسوف نرسل لك كلمة مرور جديدة."
"Back to Login","الرجوع الى تسجيل الدخول"
"Submit","تقديم"
"My Dashboard","لوحة تحكمي"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","معلومات الاتصال"
"Address Book","العنوان"
"Account Information","معلومات الحساب"
"Thank you for registering with %s","شكرا لتسجيلك مع  %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","لم تقم بتعيين عنوان الفواتير الافتراضية."
"You have not set a default shipping address.","لم تقم بتعيين عنوان الشحن الافتراضي."
"Login or Create an Account","سجل دخولك او انشئ حساب جديد"
"Personal Information","معلومات شخصية"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","عنوان الشحن الافتراضي"
"Login","تسجيل الدخول"
"Invalid login or password.","تسجيل الدخول او كلمة المرور غير صحيحة"
"Edit Account Information","تغيير معلومات الحساب"
"Log Out","تسجيل الخروج"
"First Name","الإسم الأول"
"Last Name","الإسم الأخير"
