"# of Use","# الاستخدام"
"Error during retrieval of option value: %s","خطا اثناء استرجاع قيمة الخيار: %s"
"Error while adding customers for %s alert. Message: %s","خطاء اثناء اضافة عملاء الى  %s تنبيه. رسالة: %s"
"Error while saving this group. Group with the same name already exists.","خطا اثناء انقاذ هذه المجموعة. الفريق الذي يحمل نفس الاسم موجود بالفعل."
"Error while saving this group. Please try again later.","خطا اثناء انقاذ هذه المجموعة. يرجى اعادة المحاوله لاحقا."
"Exclude","استثناء"
"Expand All","توسيع الكل"
"Failed","فشل"
"Failed to move file: %s","فشل لتحريك ملف: %s"
"Feature Products","ميزة المنتجات"
"File options format is not valid","خيارات تنسيق الملف غير صالحة"
"File upload failed","فشل في رفع الملف"
"Filter model name must be declared","مرشح النموذج يجب ان يكون الاسم المعلن"
"Filter must be as object. Set correct filter please","كما يجب ان يكون مرشح وجوه. يرجى تصحيح مجموعة ترشيح"
"Filterable (no results)","ترشيح (لا توجد نتائج)."
"Filterable (with results)","ترشيح (يوجد نتائج)."
"Filters must be as array","مرشحات يجب ان تكون المصفوفه"
"First Name","الاسم الاول"
"Fixed","تصليح"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","شقة وحدة كتالوج له حد من٪ 2  $ د ترشيح و / أو فرز سمات قادرة. حاليا هناك٪ 1  $ د. يرجى تقليل عدد سمات قادرة ترشيح / فرز من اجل استخدام هذه الوحدة."
"For internal use. Must be unique with no spaces","للاستعمال الداخلي. يجب ان تكون فريدة من نوعها مع وجود مسافات"
"For reindex enabled product(s) you need specify store or product","لتمكين إعادة فهرسة المنتج/المنتجات  تحتاج تحديد مخزن أو منتج"
"Frontend","الواجهة الامامية"
"Frontend Model","موديل الواجهة الامامية"
"Frontend Properties","الواجهات الامامية للممتلكات"
"Gallery","البوم"
"General Information","معلومات عامة"
"Get special price","احصل على سعر خاص"
"Global","عالمي"
"Globally Editable","على الصعيد العالمي للتحرير"
"Go to Home Page","الذهاب لصفحة البداية"
"Grid","الشبكة"
"Grouped Product","مجموعة المنتجات"
"Groups","مجموعات"
"Home","بداية"
"ID","الرمز التعرفي"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","إذا لم تقم بتحديد قيمة الخيار للحصول على عرض متجر محدد سيتم استخدام قيمة (المسؤول ) الافتراضية  ."
"Image","صورة"
"Image content is not valid base64 data.","محتوى الصورة غير صالح base64 البيانات."
"Image file not found","لم يتم العثور على ملف الصورة"
"Image not exists","لا توجد ملفات"
"Image not specified.","الصورة غير محددة"
"Image type and information need to be specified for each store view.","نوع الصورة و المعلومات تحتاج لان تحدد لاي مخزن مشاهدة.."
"In Stock","متوفربالمخزون"
"In stock","متوفربالمخزون"
"In stock.","في المخزن"
"Incl. Tax","Incl. Tax"
"Input Type","Input Type"
"Input Validation for Store Owner","اثبات المدخلات لصاحب المتجر"
"Integer","رقم صحيح"
"Integer Number","رقم صحيح"
"Invalid Tier Prices","مستويات أسعار غير صالحة"
"Invalid attribute %s","سند غير صالح %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","بطلان خيار السمة المحددة للخاصيه %s (%s) ، تخطى سجل"
"Invalid attribute set specified, skipping the record","غير صالح مجموعة السمات المحددة ، تخطى سجل"
"Invalid block: %s","كتلة غير صحيحة: %s"
"Invalid category","فئة غير صالحة"
"Invalid category IDs","فئة رمز التعريفي غير صالح"
"Invalid image file type","نوع ملف صور غير صالح"
"Invalid image type.","نوع الصورة غير صالح"
"Invalid option id specified for %s (%s), skipping the record","غير صالح الخيار رقم تعريف محدد لل %s (%s), تجاهل التسجيل"
"Invalid product type specified, skipping the record","نوع المنتج المحدد غير صحيح ، تخطى سجل"
"Invalid store specified","تحديد المخزن غير صالح"""
"Invalid store specified, skipping the record","المتجر المحدد غير صحيح ، تخطى سجل"
"Inventory","تجريد"
"Is Default","هي افتراضية"
"Is Required","مطلوب"
"Items %s to %s of %s total","عناصر %s الى %s من %s المجموع"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","البنود التي لا تريد ان تظهر في نتائج البحث او دليل ينبغي ان يكون مركز 'المعاقين' المرجوة في المتجر."
"Label","علامة"
"Last Name","الاسم الاخير"
"Last Notification","اخر اشعار"
"Learn More","اقرأ المزيد"
"Length of text is too long","حجم النص طويل جداً"
"Letters","رسائل"
"Letters(a-zA-Z) or Numbers(0-9)","رسائل(a-zA-Z) او اعداد(0-9)"
"Line %d, Email: %s","خط %d, بريد الالكتروني: %s"
"Line %d, SKU: %s","خط %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","الرابط (ذات صلة، وحتى بيع، عبر بيع)"
"Link product not exists.","رابط المنتج غير موجود"
"List","قائمة"
"List Mode","وضع القائمة"
"Manage Attribute Sets","ادارة مجموعات السمات"
"Manage Attributes","ادارة سمات"
"Manage Catalog Categories","ادارة دليل الفئات"
"Manage Categories","ادارة الفئات"
"Manage Label / Options","ادارة علامة/ خيارات"
"Manage Options (values of your attribute)","خيارات ادارة (قيم السمة الخاصة بك)"
"Manage Product Attributes","ادارة منتج السمات"
"Manage Product Sets","اوضاع ادارة المنتج"
"Manage Products","ادارة المنتجات"
"Manage Stock","إدارة المخزن"
"Manage Titles (Size, Color, etc.)","ادارة العناوين (حجم, لون, الخ)."
"Max Characters","الحد الأقصى للحروف"
"Maximal Depth","الحد الأقصى للعمق"
"Maximum Image Size","الحد الأقصى لحجم الصورة"
"Maximum Qty Allowed in Shopping Cart","الحد الاقصى لل Qty تسمح في سلة التسوق"
"Maximum image height","الحد الأقصى لإرتفاع الصورة"
"Maximum image width","الحد الأقصى لعرض الصورة"
"Maximum number of characters","الحد الأقصى لعدد الحروف"
"Media Image","صور وسائل الاعلام"
"Minimum Lines Per Page","الحد الأدنى للخطوط للصفحة الواحدة"
"Minimum Qty Allowed in Shopping Cart","الحد الادنى Qty تسمح في سلة التسوق"
"Minimum Qty for Item's Status to be Out of Stock","الحد الادنى Qty بالنسبة للبند مركز ليكون من الاسهم"
"Missing SKU, skipping the record","فقد SKU, تجاهل التسجيل"
"More Views","مشاهدات اكثر"
"Move","تحريك"
"Move category in tree","تحريك الفئة في الشجرة"
"Multiple Select","خيارات متعددة"
"Name","الاسم"
"Name In %s","اسم في %s"
"Name<br/>(For internal use)","اسم<br/>(للاستعمال الداخلي)"
"New Category","فئة جديدة"
"New Product","منتج جديد"
"New Product Attribute","سمة منتج جديد"
"New Products","منتجات جديدة"
"New Search","بحث جديد"
"New Set Name","وضع اسم جديد"
"Next","التالي"
"No","لا"
"No image","لا توجد صورة"
"No layout updates","لا يوجد تخطيط تحديثات"
"No options of this product are available.","لا توجد خيارات متوفرة لهذا المنتج."
"No product collections found","لم يتم العثور على مجموعة منتجات"
"None","بلا"
"Not shared with other products","غير مشترك مع منتجات اخرى"
"Notify Low Stock RSS","اخطار لانخفاض المخزونRSS"
"Notify for Quantity Below","اخطار لكمية ادناه"
"Nowhere","في اي مكان "
"Number of Uses","عدد من الاستعمالات"
"Number of results<br/>(For last time placed)","عدد من النتائج<br/>(لاخر مرة وضعت)"
"OR","او"
"Old Price:","السعر القديم:"
"Option validation failed to add product to cart","فشل التحقق من صحة الخيار لإضافة منتج إلى العربة"
"Option:","خيار:"
"Options Control","خيارات التحكم"
"Options is required","الخيارات المطلوبة"
"Our customer service is available 24/7. Call us at (555) 555-0123.","خدمة العملاء متوفرة 24/7 اتصل بنا على (555) 555-0123."
"Out of Stock","غير متوفربالمخزون"
"Out of stock","غير متوفربالمخزون"
"Out of stock.","غير متوفربالمخزون"
"PM","PM"
"Page Title Separator","فاصل عنوان الصفحة"
"Page:","صفحة:"
"Parent Category","الفئة الام"
"Pending","معلق"
"Pending Reviews RSS","استعرضات معلقة RSS"
"Percentage","النسبة المئوية"
"Please add rows to option.","من فضلك ضف صفوف إلى الخيار"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","يرجى توخي الحذر وذلك لأن مجرد الضغط على الصف سيحمل حزمة البيانات تشكيل الملف المحدد وسيتم فقدان جميع بيانات النموذج الغير محفوظة."
"Please click on Close Window button if it won't be closed automatically","الرجاء النقر على زر اغلاق النافذة اذا كانت لن تكون مغلقة تلقائيا"
"Please enter a new group name","فضلا ادخل اسم المجموعة الجديد"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","الرجاء إعادة تحميل ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","من فضلك إختر السلع"
"Please select one or more attributes.","الرجاء اختيار واحد او اكثر من الصفات."
"Please select product(s)","برجاء اختيار المنتج / المنتجات"
"Please select products for attributes update","الرجاء اختيار المنتجات للصفات المحدثة"
"Please select static block ...","يرجى اختيار كتلة جامدة ..."
"Please set up merge date/time .","يرجى انشاء دمج التأريخ/ الوقت"
"Please specify date required option(s)","من فضلك قم بتحديد خيار/ات التأريخ المطلوبة"
"Please specify the product option(s)","من فضلك قم بتحديد خيار/ات المنتج"
"Please specify the product required option(s)","من فضلك قم بتحديد خيار/ات المنتج المطلوبة"
"Please specify the product(s) quantity","من فضلك قم بتحديد كمية المنتج/ات"
"Please specify time required option(s)","من فضلك حدد خيار/ات الوقت المطلوبة"
"Please, use four-digit year format","الرجاء إختيار سنة متكونة من أربعة مراتب"
"Position","موقع"
"Position In Layered Navigation","الموقف في الطبقات تصفح"
"Position of attribute in layered navigation block","موقف السمة عرقلة الملاحة في الطبقات"
"Prev","السابق"
"Previous","السابق"
"Price","السعر"
"Price Type","نوع السعر"
"Price values for options should be specified in system base currency.","السعر القيم ينبغي ان يكون للخيارات المحددة في نظام العملة الأساسية."
"Price:","السعر:"
"Print This Page","طباعة هذه الصفحة"
"Problem saving the collection, aborting. Error: %s","مشكلة في حفظ جمع اجهاض. خطأ: %s"
"Product","منتج"
"Product %s successfully added to compare list","منتج %s تم اضافتها بنجاح في قائمة المقارنة"
"Product %s successfully removed from compare list","منتج %s تم تحريكهابنجاح من قائمة المقارنة"
"Product API","منتج API"
"Product Alerts","تنبيهات المنتج"
"Product Attribute","سمة المنتج"
"Product Attributes","سمات المنتج"
"Product Categories","فئات المنتج"
"Product Description","وصف المنتج"
"Product Image Placeholders","صورة المنتج placeholders"
"Product Image Watermarks","صورة المنتج ماءيه"
"Product Images","صور المنتج"
"Product Images API","صور المنتج API"
"Product In Websites","المنتج في الموقع"
"Product Info Column","معلومات عمود المنتج"
"Product Information","معلومات المنتج"
"Product Name","اسم المنتج"
"Product Reviews","مراجعات المنتج"
"Product Tags","علامات المنتج"
"Product Tier Price API","مستوى سعر المنتج API"
"Product Type","نوع المنتج"
"Product URL Suffix","بادئة URL المنتج"
"Product attribute sets API","السمة المنتج يحدد API"
"Product attribute was successfully deleted","تم حذف سمات المنتج بنجاح"
"Product attribute was successfully saved","تم حفظ سمات المنتج بنجاح"
"Product attributes API","سمات المنتج API"
"Product collection expected","مجموعة المنتج المتوقعة"
"Product deleted","تم حذف المنتج"
"Product duplicated","تكرار المنتج"
"Product has required options","خيارات مطلوبة للمنتج"
"Product links API (related, cross sells, up sells)","روابط المنتج API (ذات الصلة، عبر تبيع وتبيع ما يصل)"
"Product listing sort by","فرز القائمة من قبل المنتجات"
"Product saving error.","خطاء في حفظ المنتج."
"Product saving error. ","خطأ في تخزين المنتج"
"Product types API","أنواع المنتج API"
"Product was successfully created.","تم انشاء المنتج بنجاح."
"Product was successfully saved.","تم حفظ المنتج بنجاح."
"Product with this combination of attributes already associated to configurable.","المنتج مع هذا المزيج من السمات المرتبطه بها فعلا الى تهيئة."
"Products","منتجات"
"Products Information","معلومات المنتجات"
"Products Reviews","مراجعات المنتجات"
"Products Sitemap","منتجات خريطة الموقع"
"Products only","المنتجات فقط"
"Products per Page on Grid default value","المنتجات لكل صفحة على شبكة القيمه الافتراضيه"
"Products per Page on List allowed values","منتجات في الصفحة على قائمة سماح القيم"
"Products per Page on List default value","المنتجات لكل صفحة على قائمة القيمه الافتراضيه"
"Products per page on Grid allowed values","المنتجات المسموح بها لكل قيم الصفحة على الشبكة"
"Properties","خصائص"
"Qty","كمية"
"Qty Uses Decimals","Qty تستخدم عشري"
"Qty for Item's Status to become Out of Stock","كمية حالة الفئات لتصبح غير متاحة"
"Quick Create","انشاء سريع"
"Quick Overview","مشاهدة سريعة"
"Quick simple product creation","بسيطة انشاء المنتجات سريعه"
"Records for ""","تسجيل الى """
"Redirect","اعادة توجيه"
"Redirect URL","اعادة توجيه الموقع"
"Regular Price:","سعر عادي:"
"Related Products","منتجات متعلقة"
"Remove","حذف"
"Remove Product","حذف المنتج"
"Remove Product From Websites","حذف المنتج من الموقع"
"Remove This Item","حذف هذا العنصر"
"Remove product assignment","إزالة مهمة المنتج"
"Remove product image","أزالة صورة المنتج"
"Remove product link","أزالة رابط المنتج"
"Required","مطلوب"
"Reset","اعادة تعين"
"Results","نتائج"
"Retrieve attribute data","استرداد سمة البيانات"
"Retrieve attribute list","إسترجاع قائمة السمة"
"Retrieve attribute options","إسترجاع قائمة الخيارات"
"Retrieve categories tree","إسترجاع شجرة الفئات"
"Retrieve category attributes","إسترجاع سمات الفئة"
"Retrieve category data","أسترجاع فئة البيانات"
"Retrieve hierarchical tree","استرداد الشجرة الهرمية"
"Retrieve linked products","استرداد المنتجات المرتبطة"
"Retrieve list of assigned products","استرجاع قائمة المنتجات المخصصة"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","تم حذف الاستعراض بنجاح"
"Review was saved successfully","تم حفظ الاستعراض بنجاح"
"Review was successfully saved","تم حفظ الاستعراض بنجاح"
"Reviews","استعراضات"
"Roll Over for preview","ترحيل للمعاينة"
"Root","الجذر"
"SKU","SKU"
"Save","حفظ"
"Save And Continue Edit","حفظ و تكملة التعديل"
"Save Attribute","حفظ السمات"
"Save Attribute Set","حفظ وضع السمات"
"Save Category","حفظ الفئة "
"Save Search","حفظ البحث"
"Saved ","تم الحفظ "
"Scope","مدى"
"Search","بحث"
"Search Engine Optimizations","محرك بحث التحسينات"
"Search Information","حفظ المعلومات"
"Search Query","استفسار البحث"
"Search Term was successfully saved","تم حفظ كلمة البحث بنجاح"
"Search Term with such search query already exist.","مصطلح البحث مع مثل هذه استفسار البحث الموجودة بالفعل."
"Search was successfully deleted","تم حذف البحث بنجاح"
"Searchable","امكانية البحث"
"Select Configurable Attributes ","اختر تهيئة الصفات "
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","اختيار انواع المنتج"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","ارسال عدد"
"Set Ascending Direction","الصعود الى مجموعة التنبيه"
"Set Descending Direction","تحديد الاتجاه التنازلي"
"Set Name","وضع اسم"
"Set Root Category For Store","وضع جذر الفئة للتخزين"
"Set root category for this store in the <a href=""%s"">configuration</a>","مجموعة الجذر فئة لهذا المتجر في <a href=""%s"">configuration</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","اوضاع"
"Shop by","تنفيذ البيع بواسطة "
"Shopping Options","خيارات تنفيذ البيع"
"Show","عرض"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","منتجات بسيطة"
"Site Map","Site Map"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","تخطى الواردات على التوالي ، غير صالحة القيمه ""%s"" الميدان ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","تخطى الواردات على التوالي ، في الحقل مطلوب ""%s"" لعميل جديد غير معرف"
"Skip import row, required field ""%s"" for new products not defined","تخطى الواردات على التوالي ، في الحقل مطلوب ""%s"" لمنتج جديد غير معرف"
"Skip import row, required field ""%s"" not defined","تخطى الواردات على التوالي ، في الحقل مطلوب ""%s"" غير معرفة"
"Skip import row, store ""%s"" field not exists","تخطى الواردات على التوالى ، المتجر ""%s"" لا يوجد مجال"
"Sort Order","الترتيب"
"Sort by","رتب ب"
"Source Model","موديل المصدر"
"Special Price:","سعر خاص:"
"Starting at:","يبدا في:"
"Static","ساكنة"
"Static block and products","تجميد المساحة والمنتجات"
"Static block only","تجميد المساحة فقط"
"Status","اوضاع"
"Stock Availability","الاسهم المتوفرة"
"Store","مخزن"
"Store View","مشاهدة مخزن"
"Stretch","توسعة"
"Subscribe to Feed","اشتراك للتغذية"
"Subscribe to RSS Feed","اشتراك لتغذية ال RSS "
"Super product attributes configuration","سمات تشكيل المنتجات العالية"
"Synonym For","مرادف الى"
"Synonym for","مرادف الى"
"System","نظام"
"System Properties","خصائص النظام"
"Tag Name","اسم العلامة"
"Tax","Tax"
"Text","نص"
"Text Area","منطقة النص"
"Text Field","حقل النص"
"There are no %s available.","لا يوجد هناك %s مسموحة"
"There are no customers for this alert","لا يوجد عملاء لهذا التنبيه"
"There are no products matching the selection.","لا توجد منتجات مطابقة مع الاختيارات."
"There was an error while adding products to websites","كان هناك خطأ في حين ان المنتجات اضافة الى مواقع الويب"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","هناك خطائ اثناء حذف النتج من الموقع"
"There was an error while updating product(s) attributes","هناك خطاء اثناء تحديث سمات المنتج"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","هذه السمات لم تعد موجوده"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","وهذا النظام يحتوي على مجموعة من الصفات. نظام الانتقال الرجاء الصفات الى مجموعة أخرى وحاول مرة أخرى."
"This is a required option","This is a required option"
"This search no longer exists","هذا البحث غير موجود"
"Tier Pricing","تسعير الطبقة"
"Tile","بلاطة"
"Time format","Time format"
"Title","Title"
"Top/Left","اعلى/يسار"
"Top/Right","اعلى /يمين"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","مجموع ال  %d حذف التسجيلات بنجاح"
"Total of %d record(s) were successfully updated","مجموع ال  %d تحديث التسجيلات بنجاح"
"Type","نوع"
"Unable to complete request. Please try again later.","لا يستطيع استكمال الطلب. يرجى اعادة المحاولة لاحقا."
"Unable to find a search term to delete","لا يمكن العثور كلمة البحث للحذف"
"Unable to find an attribute to delete","لا يمكن العثور على سمات للحذف"
